במשך, תוך כדי; חִ׳לַאל خلال 
לפי, על פי; חַסַבּ حَسَب
כְּמוֹ; מִתֵ׳ל مثل
רוֹב; אַעְ׳לַבּ أَغْلَب
בפנים; גֻ׳וַّא جوّا
ללא, בלי;  בִּדוּן بدون 
במקום; בַּדַל بدل
בערך (לפני המילה); חַוַאלִי حوالي
גם, גם כן; בַּרְצ׳וֹ بَرْضُو
סוף; אַאחֵ׳ר آخر
תקופה; פַתְרַה فَتْرَة
מיוחד; חֻ׳צוּצִי خصوصي
לַמְרוֹת שֶ-, אֲפִילוּ שֶ-; מַע אִנّוֹ مع إنّه
חוץ מ...; עֵ׳יר غير
בדרך-כלל; עַאדַתַן عادةً 
עדיין, עדיין לא; לִסַה لسّة
אגב, דרך אגב; עַלַא פִכְּרַה عَلَى فِكْرَة
חס וחלילה; מַא סַמַח אַללַّה ما سمح الله
יחד, ביחד; סַוַא سوا
אֲבַל (מילת קישור); לַאכֵּן لٰكن
במיוחד; חֻ׳צוּצַן خُصُوصًا
אֲפִילוּ; חַתַّא حتّى
עכשיו, כעת; חַאלִיַّן حاليًّا
לא יתכן, בלתי אפשרי; מֻסְתַחִיל مستحيل
רק, בלבד; פַקַט فقط
כל כך; הַל-קַדّ هلقدّ
בכל זאת; בַּרְצ׳וּ برضو
אף פעם; וַלַא מַרַّה ولا مرّة
בקיצור; חַצְלו حصلو
כִּמְעַט; תַקְרִיבַּן تقريبًا
בנתיים, לעת עתה; חַאלִיַّן حَالِيًّا
עד ש; עַ-בֵּין מַא عبين ما
אותו הדבר; נַפְס אֵ(ל)שִّי نفس الشي
עַד ש-; חַתַّא حَتَّى
למרות; רַעְ׳ם رغم
בכלל; שִילי בִּילִי شيلي بيلي
מרחוק, מהבית (עבודה או לימודים דרך האינטרנט); עַן בֻּעְד عن بعد
בכל אופן, על כל פנים; עַלַא כֻּלﬞ חַאל على كلّ حال
או; אַַו او
לפני ש...; קַבְּל מַא قبل ما
אחרי ש...; בַּעְד מַא بعد ما
כַּאֲשֶׁר, כְּשֶ-; לַמַّא لَمَّا
אִם (מילת תנאי); אִדַ׳א إِذَا
גם, עוד; כַּמַאן كَمَان
או (בהשוואה); וִלַّא ولّا
לכן; עַשַאן הֵיכּ عشان هيك
כי, מפני ש, משום ש; לַאִנّוֹ لانّو
כְּלוֹמַר; יַעְנִי يَعْنِي
לו, אילו; לַו لو
כְּדֵי, כְּדֵי ש-; חַתַّא حَتَّى
וְ- (ו׳ החיבור); וּ- و-
אֵצֶל; עִנְד عند
עִם, בְּעַד; מַע مَع
אחרי; בַּעְד بعد
על, אודות; עַן عَن
ליד; גַ׳נְבּ جنب
על; עַלַא  على
עַד; לַחַדّ لحدّ 
לפני; קַבְּל قبل
שׁוֹנֶה, אחר; עֵ׳יר غير
לא אכפת לי; בִּיפְרִקְש מַעִי بِيفْرِقْش مَعِي
כמה ש, ככל ש; קַדّ מַא قَدّ مَا
יֵשׁ; פִי فِي
אולי; מֻמְכֵּן ممكن
בְּ- (בתוך); פִי في
כֹּל; כֻּלّ كلّ
אֵין; פִשّ فشّ
בְּ; בְּ ب
ה (ה הידיעה); אִלְ ال
היה; כַּאן كان
הָיְיתָה; כַּאנַת كانت
בִּשְׁבִיל; עַשַאן عَشَان
שֶל, שַיַיךְ ל...; תַבַּע تبع
חבל; חְ׳סַארַה خسارة
אותו ה...; נַפְס نفس
בקירוב, בערך; תַקְרִיבַּן تقريبًا
חוץ, החוצה, בחוץ; בַּרַّא بَرَّا
זֹאת, הַזֹּאת; הַאדִ׳י هَاذِي
הרבה; כְּתִיר كْثِير
זה; הַאדַ׳א هٰذا
בכלל, לגמרי; בִּ(א)לְמַרַّה بالمرّة
הַתְחָלָה; בִּדַאיֵה بِدَايِة
קשור (בעל שייכות לעניין); מֻעַלַّק معلّق
בנוגע ל, ביחס ל, בקשר ל; בִּ(אל)נִّסְבֵּה לַ بالنّسبة ل
מובן, משמעות, כוונה; מַעְנַא معنى
וואלה, בחיי, באמת; וַאללַّה واللّه
סליחה, ברשותך (פנייה); לַוְ סַמַחְת لو سمحت
אֵיפֹה, הֵיכָן (מילת שאלה); פֵין فِين
כמובן; טַבְּעַן طبعاً 
חיצוני; חַ׳ארִגִ׳י خارجي
בעצמי, לבד (אני); לַחַאלִי لحالي
זאת; הַאי هاي
קִיצּוּר; אִחְ׳תִצַאר إِخْتِصَار
אוי, וואו, עד כדי כך; וַלַו ولو
עדיין; בַּעֵד بعد
בִּפְנִים, בּתוֹךְ; דַאחֵ׳ל داخل
דָּחוּף; עַאגֵ׳ל عَاجِل
לגמרי, לתמיד; עַלַא טוּל عَلَى طُول
בֵּין; בֵּין بين
אולי (שיבוש של بلكي); בַּרְכִּי بركي
חוץ, מחוץ ל; חַ׳ארֵג׳ خارج
